Question,Sub Quest/Answer,Question_Char_Length,Sub_QA_Char_Length,Question_Word_Length,Sub_QA_Word_Length
What is the OCBC kill switch?,"The kill switch enables OCBC customers to immediately freeze all their current and savings accounts (including joint accounts), ATM access, debit and credit cards and digital banking if they suspect they are a victim of a scam or if they believe key account-related details have been otherwise compromised.Once the kill switch is activated, no transactions – whether done digitally, via an ATM or at branches – can be made. Even recurring or pre-arranged fund transfers will be disabled.How it worksCustomers can activate the kill switch by calling 1800 363 3333 (+65 6363 3333 if calling from overseas) and selecting option ‘8’.It can also be activated via the OCBC Digital app and at selected OCBC ATMs.The kill switch will suspend all accounts and the following services:Cash withdrawals and deposits (including salary crediting)Local and overseas funds transfers, both incoming and outgoingBill paymentsGIRO transactions, both incoming and outgoingNETS paymentsVisa and Mastercard payments made using ATM/credit/debit cards in stores and onlineDigital banking transactionsOne of our Customer Service Executives will contact the customer after the kill switch is activated to remove compromised bank account access or cards, and issue new ones. Only a bank branch employee or Customer Service Executive can deactivate the switch – and would only do so after receiving duly verified instructions from the customer. Once the kill switch is deactivated, the customer’s account will return to ‘normal’ and all settings prior to the account suspension – including GIRO arrangements and future-dated funds transfers – will be reinstated.Step-by-step guide to activating the kill switchTo activate the kill switch and temporarily suspend their account(s), customers can use any of these three methods: Call our Personal Banking hotline, go to selected OCBC ATMs or use the OCBC Digital app.1. Call our Personal Banking hotline (1800 363 3333 or +65 6363 3333 if calling from overseas):Press 8 to have one of our Customer Service Executives assist you in English (or 9 if you require assistance in Mandarin)If you are in the queue to be served but wish to promptly activate the kill switch, press 8Press 1 to proceedEnter your 7-digit NRIC number followed by the hash keyPress 1 to confirm NRIC numberEnter your 16-digit credit or debit card number, or 10-digit ATM card number (not required if you called using the mobile number in our records)Press 1 to confirm card number (not required if you called using the mobile number in our records)Press 1 to confirm the suspension of your account(s) and card(s)You will be transferred to speak with a Customer Service Executive2. Go to an OCBC ATM:Log in with an ATM/credit/debit card and PINSelect ‘More Services’Select ‘Suspend your accounts and cards’Select ‘Confirm’3. Use the OCBC Digital app:Launch the OCBC Digital app and navigate to 'More’ > 'Kill switch'Select your identification type (NRIC/passport) and provide detailsEnter an SMS OTP to authenticate the requestYour account(s) and card(s) will be suspended immediately",29,3073,6,475
FAQsWhy is my request to make a PayNow/FAST transfer being reviewed and not immediately processed?,"When you make a PayNow or FAST transfer via Online Banking, the screen may show that your request is being reviewed. You will receive an email and SMS notification informing you that we are reviewing your request as well. For security reasons, we may also call you to verify the details of your request.For your security, we may review your request. This will take no longer than 6 hours and we will inform you of the outcome via email and SMS/push notification. During this time, we may call you to verify the details of your request. Please do not make another transfer to this payee until you hear from us.I need to make a PayNow/FAST transfer urgently. What should I do?If you need help urgently, please call us at 1800 363 3333 (or +65 6363 3333 if overseas).",98,764,15,138
Suspected unauthorised transactions?,"Our online security commitment to youAt OCBC Bank, we are committed to protecting the security of your online transactions. We use leading-edge and industry-standard technology and processes to help ensure that your privacy and transactions are not compromised on our servers, and that your interests are safeguarded.Our guarantee against fraudulent transfersAs an assurance of our commitment, we guarantee a full refund of any money that has been transferred out of your account due to fraud via our Internet and Mobile Banking service, subject to ourElectronic Banking Terms & Conditions. If you play your part in protecting yourself from fraud, you can bank online with peace of mind that the money in your account is protected against fraud.Play your part in protecting yourself from fraudOur guarantee protects you if you have played your part in protecting yourself from fraud by adopting the following measures:You have not shared your security details with anyone (these include your Access Code, PIN and security token);You have kept your hardware token secure at all times;You have secured your mobile device with passcode/biometric authentication to prevent another person from accessing your phone;You have equipped your computer or mobile device with the latest operating system security patches, anti-virus, anti-malware and firewall software. The installed software should be regularly updated to the latest version and run with latest signatures;You have followed our recommendations onSafeguarding Your Internet Banking Accessand complied with all your obligations under theElectronic Banking Terms & Conditionsand theTerms & Conditions Governing Deposit Accounts;You have updated us immediately when there is a change in your contact details, such as mobile number and e-mail address, for the purposes of receiving SMS alerts or e-mail notifications for online banking transactions and activities;You have updated us immediately when you change your mobile number for receiving One-time Password (OTP) via SMS; andYou inform us immediately if:you are aware of any suspected fraud, including any compromise or loss of your security device or security details; oryou receive SMS or e-mail alerts for transactions which you did not perform; oryou are alerted on change of daily withdrawal limit or add beneficiary for transfer to an account which you do not know of or did not perform,and you furnish us with all information requested by us and provide your full co-operation. Inform us immediatelyIn the event should you become a victim of an unauthorised transaction, please inform us immediately. You can report to us at1800 363 3333or(65) 6363 3333if you are calling from overseas or by visiting one ofour branchesduring our opening hours.After receiving the information required to facilitate the investigation, the Bank will complete an investigation of any relevant claim within 21 business days for straightforward cases or 45 business days for complex cases. We will notify you accordingly if we require more time for investigations.",36,3057,3,462
How do I manage my ATM/debit/credit card daily ATM withdrawal and Visa/Mastercard debit card spending limit via OCBC Digital Banking?,"Via Internet BankingLog in to OCBC Internet Banking.On the top menu, click on ""Customer service"" > “Card services"" > ""Manage card daily limit "".Select your preferred card (ATM/debit/credit) and select the “New Limit’ value for ATM withdrawal and/or Spending limit (applicable only for debit cards).Click on the Next button to proceed.Check details for accuracy and click on the Submit button to proceed.Enter OTP* :- For ‘Limit Increase’, follow instruction on your screen and generate OTP using hardware token.- For ‘Limit Decrease’, enter OTP (SMS/using hardware token)Click on the Submit button to complete request.Via OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on ""Card services"".Select ""Manage card daily limit"".Follow the mobile banking instructions.*If you have activated OCBC OneToken, you’ll not be required to enter OTPs for both the OCBC Digital app and OCBC Online Banking, as authentications are done seamlessly in the background.Please visitwww.ocbc.com/OneTokenfor more information.Do I need to have a hardware token to manage my card daily ATM withdrawal and Visa/Mastercard card spending limits via OCBC Digital Banking?Yes. As limit increase is considered a high risk transaction, you will need a hardware token/OneToken to complete the transaction.However, you will only need a SMS OTP for limit decrease. Alternatively, you may choose to generate OTP using your hardware token.If you have activated OCBC OneToken, you will not require your hardware token as you will authenticate by tapping on the pop-up notification with your registered mobile device.Please visitwww.ocbc.com/OneTokenfor more information.What are the available limit options for managing my ATM/debit/credit card ATM withdrawal limit in OCBC Digital Banking?The limit for local and overseas cash withdrawal, top-up of CEPAS/telco prepaid cards and NETS purchases is S$1,000, S$3,000, or S$5,000 per day depending on the daily limit you have signed up for.You may request to change the daily withdrawal limit via the following:OCBC Digital appOCBC Online BankingVisit any of our OCBC branchesDownload theATM Card Services formWhat are the available limit options for managing my debit card daily Visa/Mastercard card spending limit in OCBC Digital Banking?The available limit options are as follows:S$0 (Deactivate), S$200, S$1,000, S$2,000, S$3,000, S$5,000 and S$50,000.Note: Visa/Mastercard card spending limit is applicable only for debit cards.Will the change of daily limits performed through OCBC Digital Banking be effected immediately?Yes, change of daily limit of ATM withdrawal and card spending limit performed through OCBC Digital Banking is instant and effective with immediate effect.Can I manage my daily ATM withdrawal limit of my credit card when it is not linked to any of my Current/Savings accounts?No, you will need to link your credit card to at least one of your Current or Savings accounts before you can change the daily limit via OCBC Digital Banking.If your credit card is not linked to any of your Current or Savings accounts, you can visit any OCBC ATMs to update. Alternatively, you may download and complete thisformand submit at any of our branches or submit to “OCBC Bank, Card Operations, Robinson Road, P.O. Box 1386, S902736”.Withdrawal limitThe limit for local and overseas cash withdrawal, top-up of CEPAS/telco prepaid cards and NETS purchases is S$1,000, S$3,000, or S$5,000 per day depending on the daily limit you have signed up for.You may request to change the daily withdrawal limit via the following:OCBC Digital appOCBC Online BankingVisit any of our OCBC branchesDownload theATM Card Services form",133,3684,20,556
How do I access the BCIP page on Online Banking?,"Login to OCBC Online Banking viaocbc.com/loginIn the top menu, select “Investments & trading” -> “Blue Chip Investment Plan”Who can assist me if I have further enquiries regarding BCIP?Please visit our websitewww.ocbc.com/bluechipfor details on the plan. If you have further enquiries regarding the BCIP features or application process, you may call our hotline at 1800 363 3333.",48,379,10,56
Fees and chargesWhat are the fees and charges when I invest in Unit Trust funds through OCBC Online Banking and OCBC OneWealth™ App?,"Upfront sales charge:The upfront sales charge that you will be paying will be shown on the screens when you buy a fund.Example:If upfront sales charge for investing online is 1.5%Your investment amount: S$1000Your net investment amount= $1000 - ($1000 x 1.5%) = $1000 - $15 = $985Platform fees:You do not pay platform fees when you keep your Unit Trust holdings with OCBC.All other fees:All related fund fees paid to the fund manager are stated in the fund factsheet and prospectus. These fees will be factored into the value of the fund. You will have to pay these fees in addition to your investment amount. OCBC does not charge any other fees other than the upfront sales charge.Are there any fees for selling a fund online?OCBC does not charge any fees for selling a fund. Back end load funds are not offered on OCBC Online Banking.Buying a Unit Trust fundWhy am I not able to see my holdings after I have bought a Unit Trust fund?When you buy a unit trust fund, trades are aggregated and sent to the fund house for settlement. You will only see the units allocated to you once the trades are settled. This will take generally 3-8 business days. We will inform you through SMS and/or email once your trade is settled.How does a Monthly Investment Plan work? What are the charges involved?If you have subscribed to a Monthly Investment Plan, we will help you automatically invest into the unit trust fund on the 15th of every month. If the 15th is a non-business day, it will be processed on the last business day before the 15th of the month. You will be charged the same recurring sales charge for every successful investment into the fund.Example:20th July 2016. Subscribed to a Monthly Investment Plan of $500; with end date on January 2017 at 1.5% sales charge.Starting from August: We will help you invest $492.50 (after 1.5% sales charge) into the fund on the 15th of every month until January 2017. The number of units allocated to your holdings will be dependent on the unit price at the time of settlement.To ensure that the units are allocated on time, please ensure that you have sufficient funds in your deposit account for the GIRO deduction to take place.I have subscribed to a Monthly Investment Plan, when will this take effect?Your monthly plan will start the next month if you submit your subscription instructions before 9pm on the last business day of the current month.Example 1:You subscribed to a monthly plan on 20th December 2015, 1pm. Your monthly investment plan will only start from January 2016.Example 2:You subscribed to a monthly plan on 31st December 2015, 10pm. Your monthly investment plan will only start from February 2016.I do not have a Unit Trust account with OCBC, can I still buy a unit trust fund?Yes, we will set up a Unit Trust account when you buy a Unit Trust fund through Online Bankingg or OneWealth™ app. You will need a Current/ Savings Account or Time Deposit opened after 2007 as a reference account.Can I buy back end load funds on OCBC Online Banking?No, we do not currently offer back end load funds on OCBC Online Banking or through the OneWealth™ app.Can I buy a Unit Trust fund using my CPF or SRS money?Yes, you can buy a Unit Trust fund using CPF or SRS. Please ensure that your CPF or SRS account is opened with OCBC.What is the Customer Knowledge Assessment (CKA)?Customer Knowledge Assessment (CKA) assesses if you have the relevant knowledge or experience to understand the risks and features of Specified Investment Products (SIPs) before buying independently. CKA is only valid for 1 year. If your previous assessment was done more than a year ago, you will have to do the assessment again.I am interested to buy funds but I have not satisfied the requirements for the Customer Knowledge Assessment (CKA). What shall I do?You may still buy a fund with advice from our financial advisors at our branches. Please provide your contact details by clicking the “Have us contact you” form. We will contact you within 3 business days.What is the minimum amount I need to buy a Unit Trust fund on OCBC Online Banking?There are 2 modes of investment – (i) One time, (ii) Monthly Investment Plan. For One time investments, minimum amount is S$1000 while the minimum amount for a Monthly Investment Plan is S$100 per month.What is an indicative price?An indicative price is an estimate of the Unit Trust fund unit price. Your Unit Trust investment will be cleared at the day’s closing price which is determined by the fund house. OCBC does not determine the fund unit price.How will I be updated of the status of my purchase?If you have successfully submitted a purchase request, we will inform you of the status of your purchase via SMS and/or email twice. The first update will be provided when we receive your purchase request, and the second update will be provided when your request to purchase is successful. Please ensure that you have opted in to be notified of these updates using the “Manage e-alerts settings” on Online Banking.Selling a fundI have sold my Fund A holdings. However, I cannot sell my Fund B holdings.Not all funds can be sold online. You may proceed to any of our branches to submit your redemption instructions. Alternatively, you may submit aMail-in Unit Trust Redemption Formthrough mail. Please ensure that you have a valid OCBC Current or Savings Account (for cash trades) to credit your proceeds.Amendment and termination of Monthly Investment PlanWhen can I amend or stop my Monthly Investment Plan?You may choose to amend or stop your monthly plan 1 day after the subscription of the plan online. If you wish to amend or stop the plan on the day of subscription, you may proceed to our branches to submit your instructions.I have made an amendment to my monthly plan, when will this take effect?The amendment to your monthly plan will take effect the next month if you submit your amendment instruction before 9pm on the last business day of the current month.Example 1:You submitted an amendment instruction on 2nd December 2015 at 6p.m. Your latest amendment instructions will take effect from January 2016 onwards.Example 2:You submitted an amendment instruction on 31st December 2015 at 10p.m. Your latest amendment instructions will take effect from February 2016 onwards.I have stopped my Monthly Investment Plan; will funds still be deducted from my account the next month?You will not be debited for the subscription amount the next month if you stop your monthly investment plan before 9pm on the last business day of the current month.Disclaimer: The above FAQ is for your information only. For full terms and conditions and further details, please refer to the following (the “Terms”):(1)Terms and Conditions of OCBC Investment ServicesandTerms and Conditions Governing OCBC Investment Products and Services(2)OneWealth™ App General DisclaimersIn the event of any inconsistency between this FAQ and the Terms, the Terms will prevail.",132,6939,23,1170
What new investment features are available on the OCBC Mobile Banking app?,"Integration of the OCBC OneWealth™ app into OCBC Mobile Banking appWe have refreshed and revamped the OCBC Mobile Banking app to provide you with a seamless investment and banking experience. We are now pleased to announce the new generation of digital wealth management functionalities – available on the OCBC OneWealth™app – you can enjoy through the OCBC Mobile Banking app. With easy access to your accounts and holdings at a glance and making investments on the go, wealth management has never been simpler.As such, the OCBC OneWealth™app will be discontinued on16 December 2019and all its investment features will be integrated into the new OCBC Mobile Banking app for your convenience.Alongside the capabilities on the OCBC Mobile Banking app, you can now have full control of your finances in one place:Access investment ideas, market updates and thematic articles from OCBC investment expertsInvest in unit trusts, blue chip shares and Singapore Government SecuritiesTrack and manage your investments anytime, anywhereFlexibly set price alerts to get the latest news and views concerning how market events may impact your holdingsIf I previously bought unit trusts via the OCBC OneWealth™ app, will I still be able to see and access these holdings?Yes, if you previously bought unit trusts via the OCBC OneWealth™ app, your holdings will be reflected in the OCBC Mobile Banking app.How can I buy or sell unit trusts via the OCBC Mobile Banking app?Open the app and tap on Manage wealth > ‘Buy and Sell our selected funds’Select a fund, read through the fund details then click ‘Login to Buy’.ORLog in and go to menu on the left > Invest > Unit Trust.Select a fund, read through the fund details then click ‘Proceed to Buy’.I do not have a unit trust account. Can I buy unit trusts via the OCBC Mobile Banking app?Yes, you can buy unit trusts via the app. We will set up a unit trust account for you instantly.How can I view my portfolio?Log into the OCBC Mobile Banking app and tap onWhat you haveon the main page, your holdings will be reflected underInvestmentsin your account overview.Similarly, your unit trusts can be seen and managed via OCBC Internet Banking.",74,2175,12,359
What is Easy Q?,"No more waiting in the branch!Easy Q is a mobile queue ticketing service on OCBC Mobile Banking that allows customers to take a digital queue ticket before arriving at the branch to be served. The queue situation of each branch will be reflected on Easy Q.Digital queue tickets are not available for the following services, please proceed to the branch to be served:FRANK advisory servicesSafe Deposit Box servicesBusiness Banking servicesStandard branch operating hours apply. You may take a digital queue ticket only when the branch is open.",15,543,4,87
I do not have an OCBC Mobile Banking account. Can I still use Easy Q?,"Yes, you can still use Easy Q.You do not need a mobile banking account to use Easy Q.",69,85,15,18
How to take a queue ticket with Easy Q?,"Launch the OCBC Mobile Banking appTap on ""More services"".Select ""Easy Q"".Make a selection for Personal Banking or Premier Banking queue.Select a branch.Select a service.Enter a valid mobile number to take a digital queue ticket.",39,228,9,34
Why do I need to enter my mobile number?,"SMS notifications may be sent to the mobile number, if required.",40,64,9,11
Do I need to take 2 queue tickets for multiple services?,"If you require multiple services, you do not need to take multiple queue tickets. Simply inform the bank staff when you are being served.",56,137,11,24
How will I know if my queue number will be called soon?,Your queue status will be updated on your digital queue ticket on Easy Q.,55,73,12,14
What is a hardware token?,"It is a physical device designed to securely authorise transactions – including high-risk ones like adding payees, updating contact details and changing transaction limits.While it is effective, we highly recommend switching to OCBC OneToken for the following reasons:Seamless and secure banking: Carry out banking activities with just your mobile phone.No additional physical burden: Say goodbye to carrying an extra ‘keychain’ as you will no longer need a hardware token.Fuss-free activation: Activate OCBC OneToken whenever you wish – you do not need to wait for the hardware token to be mailed to you.Planet-friendly choice: Do your part for the environment. Switching to OCBC OneToken means no more need for disposable hardware tokens.For your security, OCBC OneToken will be fully activated only 12 hours after you set it up.Learn more about OCBC OneToken.",25,862,5,131
How do I authorise transactions using a hardware token?,Here is how you can authorise transactions using a hardware token:To log in to the OCBC Digital app/OCBC Internet Banking or authorise low-risk transactionsPress and hold the ‘OTP’ button to generate a 6-digit codeEnter the 6-digit code into the OCBC Digital appTo authorise high-risk transactionsPress and hold the ‘SIGN’ buttonEnter the one-time password shown on the OCBC Digital app into the hardware tokenPress the ‘SIGN’ button again to generate a 6-digit codeEnter the 6-digit code into the OCBC Digital app,55,514,9,80
Can I replace my hardware token if I lose mine?,"You can get another hardware token by visiting any OCBC branch. Alternatively, email us – via OCBC Internet Banking (Log in > Mailbox) or the OCBC Digital app (Log in > Menu > Secured Mailbox) – to request a replacement. Your email should include the following details:Why the token needs replacing (e.g. it is out of battery, damaged or lost)Where we should mail the token to (if you have multiple mailing addresses in our records)For greater convenience, consider switching to OCBC OneToken.Learn why we recommend switching.Watch this videoto learn how to activate OCBC OneToken via SMS OTP and your card PIN.",47,611,10,101
Why is there a feature to suspend my accounts and cards through the Personal Banking Hotline?,"In line with the Bank’s enhanced anti-scam measures, you may now suspend the operation of your OCBC bank accounts and OCBC cards (including the operation of these accounts and cards through OCBC Digital) via our Personal Banking dedicated hotline if you have detected fraudulent transactions being made on your accounts or cards.",93,329,16,52
I suspect that I may have been scammed. How do I prevent the scammers from accessing my account(s)?,"You may suspend the operation of your OCBC bank accounts and cards (including the operation of these accounts and cards through OCBC Digital) via our Personal Banking hotline by following the steps below:Personal Banking hotline 1800 363 3333 or +65 6363 3333 if calling from overseas) steps:Press 8 to temporarily suspend your accountsEnter 7-digit NRIC number followed by the hash(#) keyPress 1 to confirm NRICEnter 16-digit credit or debit card number, or 10-digit ATM card numberPress 1 to confirm card numberPress 1 to confirm account and cards suspensionYou may also suspend your accounts and cards through OCBC ATMs.Learn more.",99,634,18,99
What does this service suspend?,"This service suspends the following:The use of your current and savings accounts (including joint accounts – if the joint account is suspended, joint account holders cannot withdraw from/ place deposits into the affected joint account), whether through OCBC Digital (including OCBC Pay Anyone) or otherwise.The use of your ATM, Debit and Credit cards (including business debit cards and corporate credit cards), whether through OCBC Digital (including OCBC Pay Anyone) or otherwise.",31,482,5,71
When will the suspension take effect?,This will take effectimmediatelyupon your confirmation of the suspension through our Personal Banking hotline.,37,110,6,14
Will all my transactions be disabled?,These transactions will be disabled once you have confirmed the suspension:Cash withdrawals and depositsLocal and overseas funds transfersBill paymentsGIRO transactions (incoming and outgoing)NETSVisa & MasterCard transactions using ATM/ Credit/ Debit cards physically and digitally,37,282,6,34
"If my banking accounts are suspended, what will happen to any incoming funds that I am expecting (e.g. crediting of salary, crediting of dividends) and scheduled funds transfers or payment arrangements (e.g. GIRO payments)?","During the period when your accounts are suspended, no crediting or debiting of funds will be processed, even if these arrangements were scheduled prior to the suspension. You will need to make alternative arrangements in advance with the relevant parties/ organisations.",223,271,34,41
What do I need to do to reactivate the operation of my accounts and cards?,You can visit any OCBC Singapore branches or call our Personal Banking hotline 1800 363 3333 to reactivate the services.,74,120,15,20
ServicesSMS FormatOne-Time Password(OTP) Required?,"Please send the SMS request from the mobile number you registered with us. Send the request to 72323 (local) or +65 9327 2323 (overseas).Card ActivationActivate your Credit or Debit CardACT space <NRIC/Passport> space <Last 4 digits of card number> to 72323Example : ACT S7612345X 1234Activate your ATM CardAEC space <NRIC/Passport> space <Last 4 digits of card number> to 72323Example : AEC S7612345X 1234NActivate your card for overseas ATM Cash withdrawalATM space <NRIC/Passport> space <Last 4 digits of card number> space <start date in DDMMYY> space <end date in DDMMYY> space activate to 72323Example: ATM S7612345X 1234 230917 231017 activateNDeactivate your card for overseas ATM Cash withdrawalATM space <NRIC/Passport> space <Last 4 digits of card number> space deactivate to 72323Example: ATM S7612345X 1234 deactivateNActivate the magnetic stripe on your cardMAG space <NRIC> space <last 4 digits of card number> space <start date in DDMMYY> space <end date in DDMMYY> activate to 72323Example : MAG S7612345X 1234 230917 231017 activateNDeactivate magnetic stripe on your cardMAG space <NRIC/Passport> space <last 4 digits of card no> space deactivate to 72323Example: MAG S7612345X 1234 deactivateNBalance Enquiry(excludes SGD/Foreign Currency Fixed Deposits)BAL space <NRIC> space <last 6 digits of account>Example : BAL S7612345X 123456YTo check on your credit card latest statement outstanding balanceBAL space <NRIC> space <last 4 digits of card>Example : BAL S7612345X 1234YCheck last 5 Transactions on your Saving/Current AccountLAST space <NRIC> space <last 6 digits of account number>Example : LAST S7612345X 123456YCheck last 5 Transactions on your Credit CardLAST space <NRIC> space <last 4 digits of card>Example : LAST S7612345X 1234YFind the nearest branch locationFIND space <my location>Example : FIND JurongNList the account numbers of your Products Holding[returns only last 8 digits of card number or 6 digits of account number]LIST <NRIC>Example : LIST S7612346XYRequest for Temporary Limit IncreaseTEMP space <NRIC> space <last 4 digits of credit card number> space <desired total limit> space <reason: travel, marriage, medical or other> space <duration in months>Example : TEMP S7612345X 1234 10000 TRAVEL 2NRequest for a list of SMS Banking ServicesMENUNPayNowRegistration of mobile numberREGM <space> N<IC > <space> Last 6 digits of account numberExample: ""REGM S1234567A 123456""Registration of NRICREGN <space> NRIC <space> last 6 digits of account number <space>Example: ""REGN S1234567A 123456""Registration of child's Birth CertificateREGN <space> parent's NRIC <space> last 6 digits of joint account number <space> child's birth certificate numberExample: ""REGN S1234567A 123456 T1234567B""Amendment of account number/PayNow name linked to mobile numberCHGM <space> NRIC <space> last 6 digits of account number <space> PayNow NameExample: “CHGM S1234567A 654321 John”Amendment of account number/PayNow Name linked to NRICCHGN <space> NRIC <space> last 6 digits of account number <space> PayNow NameExample: “CHGN S1234567A 654321 John”Amendment of a proxy registered to the child's Birth CertificateCHGC <space> parent's NRIC <space> last 6 digits of joint account number <space> child's birth certificate numberExample: ""CHGC S1234567A 987654 T1234567B""Deregistration of mobile numberDREM <space> NRICExample: “DREM S1234567A”Deregistration of NRICDREN <space> NRICExample: “DREN S1234567A”Deregistration of a proxy to the child's Birth CertificateDREN <space> parent's NRIC <space> child's birth certificate numberExample: ""DREN S1234567A T1234567B""Enquiry of mobile number registrationENQM <space> NRICExample: “ENQM S1234567A”Enquiry of NRIC registrationENQN <space> NRICExample: “ENQN S1234567A”Enquiry of the proxy registered to the child’s Birth CertificateENQN <space> parent's NRIC <space> child's birth certificate numberExample: ""ENQN S1234567A T1234567B""Y",50,3908,4,532
What is a daily transaction limit?,"A daily transaction limit refers to the total amount that you can pay or transfer in a day. It gives you greater control over how much money moves out of your bank account(s).How it worksYou can set daily transaction limits for local and overseas funds transfers and transactions via PayNow, FAST, Pay Any Card, debit cards, eNETS, NETS QR and MEPS.Just log in to OCBC Internet Banking or the OCBC Digital app to do so.Once a limit has been set, the sum of transactions made in a day cannot exceed the limit.What are the daily transaction limits?Transaction typeDaily transaction limitLocal transfers and Pay Any CardS$5,000 (Default)PayNow and NETS QRS$1,000 (Default)MEPS transfersS$5,000 (Default)Overseas transfersS$5,000 (Default)eNETSS$5,000 (Default), up to S$100,000 per day and S$200,000 per monthLocal transfers via ATM (to OCBC or other bank accounts)S$5,000 (Default), up to S$25,000 per monthATM cash withdrawalsS$1,000 (Default), S$3,000, or S$5,000 per day depending on the daily limit you have signed up forDebit Visa/Mastercard card transactions0 (to Deactivate), S$200, S$1,000 (Default), S$2,000, S$3,000, S$5,000 and S$50,000SeeATM withdrawal & card spending limitto learn more.Step-by-step guide to changing a daily transaction limit:Via Internet BankingLog in to OCBC Internet BankingGo to Customer service > Manage transaction limitsReview and confirm the new limitAuthorise the change using OCBC OneToken (on your mobile device) or your hardware tokenVia OCBC DigitalLog in to OCBC Digital appTap on the menu icon at top left corner > Transfer & Payment > Manage transaction limitsReview and confirm the new limitAuthorise the change via OCBC OneToken (on your mobile device) or hardware token___What is an authorisation limit?The authorisation limit refers to the amount at which you will need to authorise a transaction using your fully activated OCBC OneToken or hardware token. It applies to each transaction you make and differs by transaction type.As well as providing an extra layer of security, authorisation limits give you greater visibility on high-risk transactions being made on your account.What are the default authorisation limits?Default authorisation limits include:Transaction typeAuthorisation limitPayNow, NETS QR and PromptPay PayNow transactionsS$200.01Other local and overseas fund transfers / Bill paymentsS$1,000.00Authorisation limits are fixed. For your security, they cannot be changed.Learn more about Authorisation Limits.Learn more about OCBC OneToken.Step-by-step guide to authorising a transaction above the authorisation limit using the OCBC OneToken or hardware token:For OCBC OneToken usersStep 1: Ensure that you have fully activated your OCBC OneToken. If you have not done so, please complete the activation using your card PIN or the Token Key (this will be mailed to you). Wait for 24 hours – this period cannot be shortened – for your OCBC OneToken to be fully activated.Step 2a: If you are using the OCBC Digital mobile banking app, authorisation of the transfer/payment will take place automatically. You do not need to key in any codes.Step 2b: If you are using OCBC Internet Banking, you will receive a push notification – tap on the push notification and select ‘Confirm’ to authorise the transaction.For hardware token usersStep 1: Press the ‘SIGN’ button to turn on the token.Step 2: Enter the code displayed on Internet Banking, the OCBC Digital mobile banking app into your token.Step 3: Press the ‘SIGN’ button on the token again to generate a code.Step 4: Enter the 6-digit code into Internet Banking, the OCBC Digital mobile banking app to authorise the transaction.",34,3645,6,548
What is the PayNow service about?,"PayNow is a service that allows you to send to and receive money using a mobile number, Singapore NRIC, Foreign Identification Number (FIN), Unique Entity Number (UEN) or Virtual Payment Address (VPA) without having to know the recipient's account number.Who can use the PayNow service?PayNow service is available to OCBC Bank personal banking account holders as we are one of the 9 participating banks for PayNow service. The participating banks are:ANEXT BankAustralia and New Zealand Banking Group Limited (ANZ)BNP ParibasBank of ChinaCIMB Group Holdings BerhadCitigroup Inc.DBS BankDeutsche Bank AGGreen Link Digital BankGXS BankHSBC HoldingsIndustrial and Commercial Bank of China Limited (ICBC)JPMorgan Chase & Co.MariBank SingaporeMaybank SingaporeOversea-Chinese Banking Corporation (OCBC)RHB Banking GroupSumitomo Mitsui Banking Corporation (SMBC)Standard Chartered Bank (Singapore)Trust Bank SingaporeUnited Overseas Bank (UOB)Grab Holdings Inc.Liquid GroupSingtel DashXfersNiumCan I transfer money from a PayNow participating bank to a non-PayNow participating bank?No. PayNow only enables funds transfer between participating banks. Funds between a participating and non-participating bank can be transferred via other channels such as FAST or Interbank GIRO.When was PayNow launched?It was launched on 10 July 2017 at 8am Singapore Time.What are the operating hours of PayNow?OCBC Bank offers PayNow 24x7.If I am not an OCBC customer, can I use PayNow?You have to be a customer of one of the above 9 participating banks to use PayNow service.Are there any charges for using PayNow to send money and receive money?There is no service fee imposed for using PayNow.What can I use PayNow for?You can send and receive money to anyone who is registered on PayNow.Can I use PayNow to transfer money to a bank account overseas?No. PayNow can only be used for Singapore Dollar funds transfers between participating banks.Is sending money secure via PayNow?Yes, PayNow is secured and adopts the same high security standards established by the banking industry in Singapore for funds transfer.",33,2095,6,303
