Question,Sub Quest/Answer,Question_Char_Length,Sub_QA_Char_Length,Question_Word_Length,Sub_QA_Word_Length
Safeguard your PIN,"PINs should be 6 digits, you are advised not to repeat any digit more than once.PINs should not be based on user-id, personal telephone number, birthday or any other personal information.PINs must be kept confidential and not be divulged to anyone.PINs must be memorised and not be recorded anywhere.PINs must be changed regularly.The same PIN should not be used for different websites, applications or services, particularly when they relate to different entities.Please do not select the browser option for storing or retaining user name and password.Please check the authenticity of the bank's website by comparing the URL and observing the bank's name in its digital certificate or by observing the indicators provided by an extended validation certificate.Please check that the bank's website address changes from http:// to https:// and a security icon that looks like a look or key appears when authentication and encryption is expected.Please do not allow anyone to keep, use or tamper with your 2FA security token.Please do not reveal the one-time password (OTP) generated by the 2FA token to anyone.Please do not divulge the serial number of your 2FA token to anyone.Please check your bank account balance and transactions frequently and report any discrepancy.",18,1271,3,198
Check region format setting on iPhone,"If you are using iPhone to log in to OCBC Digital, please ensure 'Singapore' is the chosen region format for your device so that information displayed is aligned.Refer to the steps below to check the region format on your device.Go to ""Settings""Select ""General""Select ""Language & Region""For ""Region Format, select ""Singapore""",37,325,6,50
Lost your 2FA hardware token,Call us at 1800 363 3333 or (65) 6363 3333 if you are calling from overseas.,28,76,5,16
Update OTP Mobile Number,"You can update the mobile number you want to receive SMS OTPs on through Internet Banking or the OCBC Digital app, if you have your hardware token.OCBC Digital appLog in to OCBC Digital appTap on the menu bar in the top left corner of the screenTap on ""Profile & Settings""Select ""Update phone number/email""Enter details you would like changed in the relevant fields (fields left blank will not be changed)Tap on ""Save"" to proceedCheck that your details are correctClick ""Submit"" and authorise the transaction using your hardware token or OCBC OneToken*  to complete the transactionOCBC Online BankingLogin to OCBC Online BankingClick ""Customer Service"" in the top navigation barSelect ""Change mailing address"" or ""Change personal details""Provide details you would like to change in the relevant fieldsCheck that your details are correct and click ""Next"" to proceedClick ""Submit"" and authorise the transaction using your hardware token or OCBC OneToken*  to complete the transaction* If you have activated OCBC OneToken, you will not be required to enter OTPs for OCBC Digital app as authentications will take place seamlessly in the background. For OCBC Online Banking, you will need to click ""Accept"" on One Token push notification sent to your mobile device to authenticate your transaction. Please visitocbc.com/onetokenfor more information.",24,1344,4,205
Recommended browsers,Microsoft EdgeFirefox latest 10 versionsSafari version 9 or laterChrome latest 10 versionsMAC OS version 10.11 and aboveMicrosoft ended its support for Internet Explorer and retired the browser on 15 June 2022. Please use the latest version of one of the recommended browsers above for a smooth and secure experience on the OCBC website and OCBC Online Banking.,20,361,2,57
List of Transaction Alerts,"Important notes:If you have enabled Push Notifications on your OCBC Digital app where both SMS and Push Notifications are available for such alerts (as indicated by a tick), you will, by default, only receive Push Notifications.For outgoing funds transfer and bill payment transactions, the default channel for transaction notification will be via SMS (to your registered mobile phone) and/or email. If you have enabled Push Notifications, you would receive the alerts via Push Notifications instead.The available modes of notification for the various transactions are set out below.Online Unit TrustsTransactionNotification ViaEmailSMSPush NotificationsSuccessful/Unsuccessful Purchase of Unit TrustsSuccessful/Unsuccessful Sale of Unit TrustsSuccessful/Unsuccessful Subscription of Monthly Investment PlanSuccessful/Unsuccessful Amendment of Monthly Investment PlanPrice Alert/Estimated Market Price AlertOnline banking paymentTransactionNotification ViaEmailSMSPush Notifications3-day advance reminder of a scheduled recurring transfer3-day advance reminder of a scheduled future-dated transferFunds transfer between your OCBC bank accountsFunds Transfer to OCBC accountFunds Transfer to other bank account in Singapore (FAST or same-day transfer)Funds transfer to a bank account overseasAddition/removal of funds transfer beneficiariesTop-up Singtel Hi! Or StarHub Prepaid cardsSuccessful/Unsuccessful PayNow Fund TransferSuccessful/Unsuccessful SRS ContributionPre-Notification for Update Transaction LimitUpdate of daily limit for same-day funds transferUpdate of daily limit for overseas funds transferUpdate of transaction signing limit for overseas transferUpdate of transaction signing limit for regular transfer/ same day transferOnline BondsTransactionNotification ViaEmailSMSPush NotificationsSuccessful/Unsuccessful Singapore Savings Bonds applicationSuccessful/Unsuccessful Singapore Savings Bonds redemptionSuccessful/Unsuccessful SGS T-Bills applicationSuccessful/Unsuccessful SGS Bonds applicationOther transactions via other banking channelsTransactionNotification ViaEmailSMSPush NotificationsDepositsBranch/Phone BankingTime deposit placement is madeTravelWise is purchasedOther OCBC Online Banking activitiesTransactionNotification ViaEmailSMSPush NotificationsMarketing Consent UpdateGIRO TerminationWhen your e-statement is available for viewingLinking of OCBC trading accountsReport Lost CardLock / Unlock CardCard ReplacementUnlinking of OCBC trading accountsUpdate of daily limit for regular funds transfer and eNETSChange of personal particulars (contact details)Change of mailing addressOnline Banking PIN resetAccount re-activationUpdate of transaction signing limit for Pay Any CardSuccessful change e-Statement passwordChange of Access CodePre-Notification for Change ParticularPre-Notification for Change Mailing AddressPayNow RegistrationChange of Time Deposit Maturity InstructionCheque Book RequestUpdate of ATM withdrawal and spending limitLink delink Account to CardLink delink CASA Account to INBDispute DeclarationManage Contactless ATM card TransactionDebit/ATM Card change PINCorporate Action Event (Dividend)Corporate Action Event (Cash Offer)Corporate Action Event (Share Offer)Corporate Action Event (Rights Issue)Corporate Action Event (Warrant Conversion)Give consent to release OCBC dataRevoke Consent to Release OCBC DataNew data available for syncingConsent ExpiredConsent Expiry ReminderATM transactionsTransactionNotification ViaEmailSMSPush NotificationsLocal ATM cash withdrawalOverseas ATM cash withdrawalFunds transfer and bill payment at ATMATM QR WithdrawalCard transactionsTransactionNotification ViaEmailSMSPush NotificationsDebit Card transactionsCredit Card transactions",26,3732,4,401
Safeguarding your Internet Banking Access,"For more information, clickhere",41,31,5,4
Difference between the 'OTP' and 'SIGN' buttons on the OCBC hardware token,The 'OTP' button allows you to generate a One-Time password (OTP) for you to login to OCBC Digital app and OCBC Online Banking as well as for transactions that require OTP.The 'SIGN' button is used to generate a unique code based on a series of numbers that you will enter into the token for important transactions. This code is then required to complete the transaction on OCBC Digital app and OCBC Online Banking.There will be an on-screen step-by-step instruction to guide you on OCBC Digital app and OCBC Online Banking as you perform those transactions that require the use of the 'SIGN' button.,74,600,12,103
New OCBC OneToken activation,"Simply download the latest OCBC Digital app and follow thesteps guideto activate OCBC OneToken.IMPORTANT: If you are an existing hardware token user, you will need it to set up and activate your OneToken.",28,204,4,33
Discarding faulty hardware token,"After activating your newly replaced hardware token, you may discard your older token as it will be deactivated automatically. You do not need to return it to the Bank.",32,168,4,29
Online banking security and safety tips,You may refer to theSafety and Security information hubto discover the measures that we have in place to help you bank safely.Learn about:How to get started with online bankingHow we protect youSecurity advisoriesHow to safeguard yourself against prevailing scams and cyberthreats,39,280,6,41
Pay Bills,"Via Online BankingOnline payments can be made to any billing organisations registered with us. Pay directly from your bank account or OCBC credit card:Login to online banking.Under “Payment & transfer” menu, click “Pay bills”Select ‘Pay billing organisation’Choose what bill you want to pay and follow the online instructionsNot all billing organisations support credit card payments. Please check with the respective billing organisations.Via OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.Tap on ""Bills"".Under ""Billing orgs"" tab, select the Billing organisation you would like to make a bill payment.Choose the account to pay the bill from, date of payment, amount to pay and click on “Next”.Review your details and tap on “Slide to pay” to complete the bill payment.",9,841,2,131
Pay OCBC credit card bills,"Via OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.Tap on ""Bills"".Under ""Credit cards"" tab, select the OCBC credit card you would like to make a bill payment.Choose the account to pay the bill from, date of payment, amount to pay and click on “Next”.Review your details and tap on “Slide to pay” to complete the credit card bill payment.",26,409,5,73
Pay any card (and other banks' credit cards),"Via OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.Tap on ""Bills"".Under ""Credit cards"" tab, select the other bank credit card you would like to make a bill payment.Choose the account to pay the bill from, date of payment, amount to pay and click on “Next”.Review your details and tap on “Slide to pay” to complete the credit card bill payment.",44,415,8,74
Pay fines,"Log in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.Tap on ""Bills"".Tap on “Pay new bill”.Select the Billing organisation to pay.Enter the “Bill reference number” and click on “Next”.Choose the account to pay the bill from, date of payment, amount to pay and click on “Next”.Review your details and tap on “Slide to pay” to complete the bill payment.",9,404,2,70
Add payee for bill payment,"Via OCBC DigitalAdhoc bill payment and/or Add billing organisation:Log in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.Tap on ""Bills"".Tap on “Pay new bill”.Select the Billing organisation to pay.Enter the “Bill reference number” and click on “Next”.Enter One-Time Password*.Choose the account to pay the bill from, date of payment, amount to pay and click on “Next”.Review your details and tap on “Slide to pay” to complete the bill payment.*If you have activated OCBC OneToken, you’ll not be required to perform this step as authentication is done seamlessly in the background.Please visitwww.ocbc.com/OneTokenfor more information.",26,687,5,104
Pay a company not in the list of organisations,"You cannot make payment to a company not in the list ofbilling organisations.However, we’re always adding new billing organisations. If there is one you think we should add, let us know via ouronline enquiry form.",46,213,9,35
Make payment for terminated credit card,"Login to online banking.Tap on “Transfers & Payments”.Tap on ""Bills"".Under ""Credit cards"" tab, select the OCBC Card you would like to make a bill payment.Choose the account to pay the bill from, date of payment, amount to pay and click on “Next”.Review your details and tap on “Slide to pay” to complete the credit card bill payment.",39,333,6,57
Transfer funds,"Via OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.You can transfer to an account:In Singaporevia an account numbervia PayNow mobile, NRIC/FIN number, UEN, VPAOverseasto an account overseasto a foreign currency in Singapore (other bank)via mobile number (Thailand - PromptPay service)",14,356,2,54
Money2India Transfers,"Visithttps://m2inet.icicibank.co.in/m2iNetto login with your User ID and passwordSelect NetExpress transfer mode and add your OCBC Bank account detailsSelect the Receiver, Purpose of Remittance and enter the Remittance amountConfirm the provided details to initiate the NetExpress requestYou will receive a Money2India unique transaction tracking number and instructions to fund the requestLog in toOCBC Internet BankingFrom the top menu bar, select ""Payment & transfer"" > ""Pay bills""On the left navigation menu, select ""Single bill payment""Select ""ICICI Bank"" from the drop-down list for billing organisationEnter the unique Tracking Number provided by ICICI Bank Money2India in the ""Bill reference no."" fieldEnter payment details:The amount in SGD;The payment date (if it is not today); andThe bank account to pay fromConfirm the details on the next screen, and click “Submit >” to complete the request",21,904,2,129
Add or delete payee for fund transfer,Via OCBC DigitalAdd payeeLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.Tap on “Payee list”.Tap on “Local and overseas payee”.Tap on “Add payee”.Follow the mobile banking instructions to add payee.Please note that it will take at least 12 hours to effect add payee feature.Delete payeeLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.Tap on “Payee list”.Tap on “Local and overseas payee”.Tap on the “Delete payee” button.Follow the mobile banking instructions to delete payee.,37,594,7,97
Add a non-OCBC account as payee,Login to online banking.Tap on “Transfers & Payments”.Tap on “Local”.Tap on “Add new payee”.Select the Bank/Organisation of the payee account.Add the payee account number.Follow the online instructions.You will be asked for a one-time password (OTP) or authorize your request using OCBC OneToken on your mobile phone before you can transfer funds to this account. Please note that it will take at least 12 hours to take effect for adding of new payee account.Please visitwww.ocbc.com/OneTokenfor more information.,31,513,6,76
Notify payee of transferred funds,"After you have completed made the funds transfer, you can notify your beneficiary by filling in the following information:To: The “To” field will be automatically filled in if you have updated your payee’s email. Alternatively, you may choose to enter the email address on this page which will be automatically updated to the respective beneficiary's details.From: You can input a name/nick and your personal email address that is familiar to your recipient in the “From” section. This will enable them to recognise who you are.Cc: If you wish to receive a copy of the email, you can do so by selecting “Your email address as above”.Personal Message: You can personalise your email by composing a message to the beneficiary.The details of the requested transfer will be included automatically as part of the email message with your personal account information filtered out so as to ensure your confidentiality.",33,911,5,147
Same-day transfer to other banks,"Transferring funds to other bank accounts in Singapore is free and take 2 to 3 business days to process. Transfers made after 9:00 PM will only be processed the next business day. For recurring or future dated transfers, the daily limit will apply on the day of the transfer. If the funds are returned to us, a processing fee of 0.50 SGD will apply.Same-day transferFor urgent transfers, use our Same-day transfer service to transfer your SGD funds to other bank accounts in Singapore on the same day. A 5.00 SGD service charge applies for each same-day transfer. Same-day transfers submitted after 4:30 PM, or on a weekend or public holiday, will be processed the next business day (charge still applies).Important:Please set up the Beneficiary Account Name and Beneficiary Account no. as per the receiving bank's record to avoid delays.",32,838,5,139
Transfer funds to overseas via Telegraphic Transfer,"Via OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Transfers & Payments”.Tap on “Overseas”.Tap on “Via account”.Choose the funding account, beneficiary account, remitting currency, enter transfer amount before you “Slide to Submit”.Follow the mobile banking instructions to complete the overseas funds transfer.",51,361,7,53
Make a fixed deposit placement,"You need to have an existing OCBC SGD Fixed Deposit Account to make a fixed deposit placement online. If you do not have one, please visit any of OCBC branch today to open an account and make an active receipt.To make a fixed deposit placement:You are required to have a Fixed Deposit with us and a Current account or Savings accountLogin to online bankingClick on your fixed deposit in the “Overview” page and then click “Place new deposit”.Select the time deposit account of your choice.Enter the amount for your fixed deposit placement.Enter the deposit period.Select the account from which your fixed deposit will be funded.Click “Next” to proceed.This service is not applicable for ESTEEM and CPF Time Deposit Account holders.",30,731,5,120
Apply for Travel Insurance,"Via Online BankingYou need to have an existing account (deposit or credit/debit card).Login to Online BankingClick on Investments and insurance on the menu, and select Buy insurance.Click on buy now under Explorer Travel Insurance.Fill in your travel details and select the insurance plan you wish to purchase.Your personal details will be pre-populated. If you are buying for other travellers, you will need to fill in their particulars.Confirm that all information provided is correct and click on proceed to payment.Select the account you wish to pay your premium from, and click on next.Confirm the payment details, and click on submit.Upon successful submission, your application of insurance is completed and you will receive your policy documents in the email address you have provided.Via OCBC DigitalLaunch the OCBC Digital appLog in to the app.Tap on the menu bar on the top left of the screen.Tap on ""Apply"".Select ""Apply for Travel insurance.""Fill in your travel details and select the plans you wish to purchase.Fill in traveler's personal details.Select your account or card for payment.Upon successful submission, your application of insurance is completed and you will receive your policy documents in the email address you have provided.",26,1254,4,192
Do a balance transfer,"You will need to have an OCBC credit card or EasiCredit accountVia Online BankingLog in to Online BankingClick “Apply”Select “Balance Transfer”Follow the internet banking instructions to complete the transaction.Via OCBC DigitalLog in to OCBC Digital appTap on the menu bar on the top left of the screenTap on “Apply"".Select “Credit Card”Select “Balance Transfer""Follow the mobile banking instructions to complete the transactionVia OCBC.com",21,441,4,62
Top-up cards,"Via Online BankingLog in to Online BankingSelect “Payment & transfer” and click “Top up cards”You can top up your SingTel Hi!Card or StarHub Prepaid CardEnter the details of your cardFollow the online instructionsVia OCBC DigitalLog in to OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on “Card services"".Select “"".Select “Telco” for “Singtel Hi!Card Top-up” and “StarHub Prepaid Card Top-up”.Follow the mobile banking instructions.",12,456,2,69
Apply for IPO,"Login to online bankingSelect “Investment & trading ” and click “Initial public offering” (IPO)The list of current IPO available will be shown. If there are no IPO at that moment, a notice will be shown to you.Follow the online instructions",13,240,3,40
Apply for Phone Banking,Mail-in application:Download the formor collect it from our branches.Mail completed form back to the following address:Oversea-Chinese Banking Corporation LtdAccount Services (eBanking)Bras Basah Post OfficeLocked Bag Service No. 8Singapore 911886At a branch:You can select your Telephone PIN on the spot (applicable during account opening).You can then start to access phone-in banking by calling 1800 363 3333 or (65) 6363 3333 when calling from overseas.,23,457,4,63
Forgot Telephone PIN,Mail us the completedformfor a re-issuance of your Telephone PIN.,20,65,3,10
Services available,"Quick access to:Balance enquiry on Savings, Current, Foreign Currency Call/Checking, Credit Card and CPF Investment AccountsCheque status enquiryRecent account activity enquiryESA results enquiryFunds transfers to your own or pre-designated 3rd party OCBC and Other Bank accountsBill PaymentOthersStop payment on chequeStatement request for accounts with StatementsCredit card statement requestTelephone PIN changeCPF Investment Account servicesCPF Investment Account balance enquiryShare holdings enquiryCPF Investment Account transfer to CPF Ordinary AccountReport loss of OCBC ATM card, Credit Cards or PassbookRates enquiryOCBC Credit Card points enquiry and rewards redemptionFax-on-Demand Service for Forms and BrochuresInsurance enquiry and travel insurance activationTransactions can be made locally as well as overseas.",18,828,2,101
I’ve noticed that I am still able to log in to the OCBC Digital via One-Look/ One-Touch.,"Please be assured that while you may still be able to log in via One-Look/ One-Touch, any current and/ or savings accounts or cards which you have suspended will not be displayed or available for use. No transactions on the suspended accounts or cards may be performed during the period of suspension.",88,301,17,52
Eligibility,You mustBe a NRIC holder with registered with usHold at least one of the following accounts:Savings AccountCurrent AccountPersonal credit card holder (excluding business/ corporate cards)Have your mobile number registered with us and sign up for SMS OTP authentication.,11,269,1,38
Update mobile phone number for SMS OTP (one-time password),,58,0,9,0
Pricing guide,Pricing for Personal Banking productsDownload the full pricing guide for Personal Banking Products.Pricing for Business Banking productsDownload the full pricing guide for Business Banking Products.Pricing for Premier Banking productsDownload the full pricing guide for Premier Banking Products.Pricing for Premier Private Client productsDownload the full pricing guide for Premier Private Client Products.,13,406,2,51
SMS Notification Alerts for Transactions,"We will update you with your transaction details by sending SMS notification alerts to your mobile phone number. You will receive instantaneous SMS alerts (or Push Notifications if enabled) when you make the following transactions.Note: To find out which transaction alerts are available under Push Notification, clickhere.No.Type of SMS AlertsDefault Enrolment SettingsDefault Amount1Overseas ATM cash withdrawalAuto-enrolmentS$1.002Change in local ATM cash withdrawaland NETS Purchases default threshold limitfor transaction alert from 24 June 2022Auto-enrolmentS$100.003Funds transfers and bill payments at ATMAuto-enrolmentS$1,000.004Other account debit alerts*ChequesGIRORemittanceOthers (such as other financial transactions via branches and Phone Banking)No auto-enrolmentAmount shall be determined by customer5Online Banking payments and transfersAuto enrolmentS$0.016Update of contact details via ATM and Online BankingAuto-enrolment#-7Activation/Deactivation of overseas ATM cash withdrawal featureAuto-enrolment#-8Activation of credit and debit cardsAuto-enrolment#-9Change of alert settingsAuto-enrolment#10Deposit- Other transactions via other banking channelsNo auto-enrolmentAmount shall be determined by customer11Debit/credit card transactions^Auto-enrolmentS$500.00* If your transaction exceeds S$50,000.00, we will send you SMS notification alerts irrespective of the alert setting.# You are unable to unsubscribe to this alert as it is mandatory.^Transactions initiated by the Bank, such as credit card cashbacks, will not trigger notifications.You may choose to customise the alert settings viaOCBC Online Banking.For more enquiries, please call 1800 363 3333 or visit any of our OCBC branches.Update Your Mobile Phone Number NowTo ensure you are kept informed of your account/transaction details, it is important for the bank to be updated with your current mobile phone number.You may update your mobile phone number via the following methods:OCBC Online Banking*OCBC ATM*With effect from 18 March 2022, updating of mobile number via online banking will take at least 12 hours to be effective.",40,2116,5,267
Pay Any Card service via ATM,"Insert ATM cardSelect languageKey in your PINSelect ""MORE SERVICES""Select ""BILL PAYMENT""Select ""PAY OTHER BANK'S CREDIT CARD""Follow the instructions to complete the transactionMore on Pay Any Card service via Online Banking",28,223,6,30
Upgrade of Pay Any Card service using FAST,"We are pleased to inform you that, from 3 May 2021, you will get topay bills using FAST instantly– instead of waiting 3 days for payment to be processed – for credit cards issued by the following banks:DBS Bank/POSBUnited Overseas BankBank of ChinaCitibankStandard Chartered BankLearn more about theupgrade of Pay Any Card service.",42,331,8,53
Addition of non-bank financial institutions (NFIs),"From 8 February 2021, you can also transfer money via FAST between bank accounts and the following NFIs’ e-Wallets:GrabLiquid PayMatchMove PayRazer Pay (30 April 2021)Singtel DashTransferWiseThe transaction limits are subject to the e-Wallets' limits. Please approach the respective NFIs to learn more.",50,302,6,42
All about FAST,Fast And Secure Transfers (FAST) allows you to transfer money locally in an instant! Visitocbc.com/FASTfor more information.Read the press release and fact sheet for FAST.Find out thelist of FAST participating banks and organisations.,14,234,3,33
Changes in Citibank banking details from 15 April 2019,"With effect from 15 April 2019, Citibank Singapore Limited will operate under a new SWIFT Bank Identifier Code (“BIC”) and Bank Code. The new BIC and Bank Code are set out in the table below.You will need to select Citibank Singapore Limited’s BIC when you initiate new fund transfer from your OCBC accounts to Citibank Singapore Limited accounts. The changes are relevant to transactions involving a transfer of funds to Global Consumer Banking, CitiBusiness or Citi International Personal Bank accounts, and is applicable to allFast and Secure Transfer (FAST), inter-bank GIRO, MAS Electronic Payment System (MEPS)andSGD Telegraphic Transfers.Citibank Singapore Limited(Payment instructions to these accounts should contain the new bank identifier codes)Citibank N.A., Singapore Branch(No change to bank identifier codes)Applicable BusinessesGlobal Consumer Banking*CitiBusiness#Citi International Personal BankCorporate and Investment BankingCiti Private BankCiti Commercial BankSWIFT Bank Identifier Code (BIC)CITISGSLCITISGSGBank Code92017214FAST bank descriptionCITIBANK SINGAPORE LIMITEDCITIBANK NA SINGAPOREShort name displayed in OCBC ATM fund transfer screenCITI-SGCITI-NA* Wealth management products and services, unsecured and secured products# Business Banking accounts with Citibank Singapore LimitedWhom does this impactCustomers who have currently set up a Citibank payee belonging to the segments listed above.How this impacts youFAST Transfers to Citibank payees with bank description name “Citibank NA Singapore” will fail with effect from 15 April 2019. This applies to future dated transfers set up before 15 April 2019 as well.What you need to do from 15 April 2019 onwardsIf you have successfully performed a FAST transfer to an existing Citibank NA Singapore Account (the “Payee”) belonging to the segments listed above, between 11 April 2018 and 10 April 2019, OCBC Bank will convert the banking details of the Payee from “Citibank NA Singapore” to “Citibank Singapore Limited”, without any action required of you. This includes changing a new BIC/Bank code.Please note that OCBC Bank will make these changes without any further instruction from you.For the remaining affected Payees that were not converted to the new banking details, please use the steps below to delete your existing payee details and add a new payee with the correct details:FAST transferLog in to OCBC Internet Banking.On the “Payment & transfer” tab of the top navigation, select “Transfer funds” in the dropdown menu.Select “Add & manage payees” on the left menuSelect the affected Citibank payee that you wish to delete and click on “Delete account”Click on “Add account” under the category “Accounts at other banks in Singapore” and select “Citibank Singapore Limited” as the bank name.Fill in the required details and a token PIN will be required to successfully add the new Citibank payee with the updated detailsRecurring / Future-dated transferLog in to OCBC Internet BankingOn the “Payment & transfer” tab of the top navigation, select “Transfer funds” in the dropdown menuSelect “Manage future-dated and recurring transfer” on the left menuClick on “Delete” for the corresponding funds transfer to the affected Citibank banking accountSelect the recurring/ future transfers scheduled and click on “Delete Selected""Ensure that the status is changed to “Deleted”After deletion, select “Add & manage payees” on the left menuSelect the affected Citibank banking accounts that you wish to delete and click on “Delete account”Click on “Add account” under the category “Accounts at other banks in Singapore” and select “Citibank Singapore Limited” as the bank nameFill in the required details and a token password will be required to successfully add the new Citibank payee with the updated detailsSelect “Make a transfer” on the left menu.Click on make a transfer “to another bank account in Singapore”Enter the details of the transfer and click on “Submit”Please note that from Saturday 13 April 2019 (12am) till Monday 15 April 2019 (8am), FAST and PayNow service will not be available for Citibank.For more information, please visithttps://www.citibank.com.sg/gcb/otherservices/payments-transfers.htm",54,4204,9,609
